宪明 - 来不及说对不起|魏俫原创合集
學習 - 鋼琴曲|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
學習 - 不要害怕|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
學習 - 未來的世界|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
學習 - 冥想的實力|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
學習 - 下雨天|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
學習 - 我的愛|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
學習 - 你和我|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
學習 - 小鋼琴|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
學習 - 繼續努力|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
學習 - 愛情|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
學習 - 初戀|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
學習 - 學校|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
學習 - 瑜珈的魅力|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
學習 - 乖乖睡|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
學習 - 七夕節|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
學習 - 溫暖的家庭|學習時聽音樂 - 2019高效集中注意力的輕音樂和鋼琴曲為了做作業和學習
乔纳森汤斯 - 片拼圖的|片拼圖的
王媛媛 - 柳疃之歌|柳疃之歌
魏汉文 - 天邊一顆星|秋水伊人
魏汉文 - 小雨帶來愛的夢|秋水伊人
墨道琴 - 第9集 诬告|世嫁
刘昭 - 第19集 邙山双煞|十字君王
刘昭 - 第82集 附骨之蛆|十字君王
刘昭 - 第64集 玄牝心象|十字君王
羊顺顺 - 第37集 搭讪之中藏玄机|悍妾当家
思大林 - 第25集 幕僚长疯了|虎狼之师
一筐萝卜 - 第29集 钛金|网游之一枪爆头
刽子手 - 等到了你 (伴奏)|等到了你
刽子手 - 等到了你|等到了你
内容为王 - 第067集 子宸掴打高氏|绝品悍妇
内容为王 - 第54集 拷问祭祀|洪荒天子之圣女传说
凌羽 - 第35集 因为那些伤,才有了今天剽悍的我|爱过痛过才是青春
唐建树 - 贫瘠的爱情|灰色充满身心
易小知 - 第013集 沙子入蚌后变成珍珠,痛苦加身后造就成功|别辜负了你曾经受的苦
易小知 - 第09集 易怒者遵循原则,发怒之前考虑后果|别让生气毁了你
凌羽 - 第05集 真正的勇敢不是外形剽悍,而是内心强大|愿你拼尽全力活出自己
易小知 - 第022集 鲶鱼效应:给自己找一个可怕的敌人|别辜负了你曾经受的苦
懒人听书 - 卷2 第5集 龌龊|半路情缘
解语 - 第68集 渔阳鼙鼓动地来(4)|宫妖
解语 - 第65集 渔阳鼙鼓动地来(1)|宫妖
解语 - 第66集 渔阳鼙鼓动地来(2)|宫妖
解语 - 第67集 渔阳鼙鼓动地来(3)|宫妖
懒人听书 - 第28集 社稷图中起波澜|斗战西游
懒人听书 - 第102集 孙大圣搦战瑶池|斗战西游
懒人听书 - 第129集 传剑法吕喦受气|斗战西游
懒人听书 - 第128集 陈抟纯阳皆相助|斗战西游
懒人听书 - 第65集 小圣借雷殛寒山|斗战西游
懒人听书 - 第249集 金兜山逢兕大王|斗战西游
懒人听书 - 第273集 布七星吕喦叫阵|斗战西游
懒人听书 - 第218集 五丈原诸葛禳星|斗战西游
懒人听书 - 第161集 九婴未死称八歧|斗战西游
懒人听书 - 第293集 陈抟五步夺华山|斗战西游
懒人听书 - 第207集 魔道巨擘会剑崖|斗战西游
懒人听书 - 第275集 陈抟拳法惊诸佛|斗战西游
懒人听书 - 第16集 自取诨号称大圣|斗战西游
懒人听书 - 第70集 陈抟一怒惹争端|斗战西游
懒人听书 - 第157集 瀛洲岛八歧大蛇|斗战西游
烟熏了眼睛 - 第31集 共工施控水神术,周天解六壬癸水|洪荒证道
烟熏了眼睛 - 第12集 十年悟道创大法,开天神雷齑万物|洪荒证道
烟熏了眼睛 - 第72集 四极立定天地宁,女娲抔土造人畜|洪荒证道
烟熏了眼睛 - 第69集 顺天时祖巫应变,玄中秘祖巫龠兹|洪荒证道
羽小白 - 第26集 泷鋢|仙妃难为
羽小白 - 第67集 鲶鱼|仙妃难为
羽小白 - 第8集 午膳|仙妃难为
晋麟同学 - 第5集 巨蚌珍珠|神仙往事
晋麟同学 - 第43集 红光黄芒掼白虹|神仙往事
驴子 - 第7集 早膳|嫁时衣
驴子 - 第183集 忤逆|嫁时衣
驴子 - 第90集 栗子羹|嫁时衣
仿若花色 - 第109集 诬陷|药窕淑女
仿若花色 - 第227集 馈赠|药窕淑女
仿若花色 - 第459集 劾|药窕淑女
仿若花色 - 第481集 殁|药窕淑女
仿若花色 - 第155集 撵人|药窕淑女
天方工作室 - 第209集 巨狰|魔天记
天方工作室 - 第83集 秽气珠与灵骨|魔天记
天方工作室 - 第94集 罡气与箓剑|魔天记
天方工作室 - 第036集 欧阳锌|魔天记
天方工作室 - 第117集 摄空草和蜈蚣|魔天记
时间旅人 - 第49集 飞天蜈蚣|神仙浩劫
君不见 - 第80集 逼良为娼|萌萌修仙记
幽梦扰 - 第144集 母女分歧|豪门继女的重生日子
幽梦扰 - 第113集 春意盎然的清晨|豪门继女的重生日子
幽梦扰 - 第63集 赤裸裸的诬陷|豪门继女的重生日子
幽梦扰 - 第386集 香饽饽|豪门继女的重生日子
安随君 - 第169集 贾琏|红楼折钗记
安随君 - 第106集 睚眦必报王寻欢2|红楼折钗记
安随君 - 第111集 虎兕相逢3|红楼折钗记
安随君 - 第109集 虎兕相逢1|红楼折钗记
谷映蝶 - 卷1 第08集 锒铛入狱巴扎黑|懿旨到
安随君 - 第105集 睚眦必报王寻欢1|红楼折钗记
安随君 - 第110集 虎兕相逢2|红楼折钗记
汉唐 - 第311集 横眉冷对,反唇相讥!|不灭剑体
汉唐 - 第95集 杀鸡儆猴!2|不灭剑体
汉唐 - 第94集 杀鸡儆猴!1|不灭剑体
汉唐 - 第96集 杀鸡儆猴!3|不灭剑体
汉唐 - 第329集 天风炼形,天雷淬火3|不灭剑体
汉唐 - 第328集 天风炼形,天雷淬火2|不灭剑体
汉唐 - 第327集 天风炼形,天雷淬火1|不灭剑体
宅猫 - 第40集 红墀之毒|天生不凡
宅猫 - 第52集 官僚|天生不凡
一不小心 - 第36集 柳条箩筐|翠色田园
一不小心 - 第116集 妯娌添妆|翠色田园
一不小心 - 第106集 为了胃口|翠色田园
一不小心 - 第139集 妯娌较量|翠色田园
懒人听书 - 卷3 第12集 羞赧的泾陵公子|越姬
舒湘 - 第57集 庄田和妆奁1|冠盖满京华
舒湘 - 第58集 庄田和妆奁2|冠盖满京华
酥小雨 - 第71集 小婢女也是有火气滴|归缘田居
小歪 - 第34集 歧天谷|武林萌主
小歪 - 第90集 诬陷|武林萌主
小歪 - 第97集 殃及池鱼|武林萌主
秋小迪 - 卷1 第077集 杀鸡儆猴|混在王府后院的日子
秋小迪 - 卷1 第060集 贺荳荳宝贝打赏和氏璧|混在王府后院的日子
秋小迪 - 第140集 成了忍者神龟的恂郡王|混在王府后院的日子
懒人听书 - 第58集 讹人|点翠
懒人听书 - 第140集 癣|点翠
醉琉璃 - 第070集 行幕僚之责|近墨者娇
醉琉璃 - 第172集 以口哺之1|近墨者娇
醉琉璃 - 第239集 鹬蚌相争渔翁得利2|近墨者娇
醉琉璃 - 第039集 糟糠猪食|近墨者娇
醉琉璃 - 第172集 以口哺之2|近墨者娇
醉琉璃 - 第239集 鹬蚌相争渔翁得利1|近墨者娇
醉琉璃 - 第130集 忤逆2|近墨者娇
思予晴 - 第97集 被弹劾了|掌家娘子
醉琉璃 - 第130集 忤逆1|近墨者娇
本色 - 第098集 蹬鼻子上脸|九鼎记
苏西 - 修水姑娌梦事哇|修水姑娌梦事哇
苏西 - 修水姑娌梦事哇 (伴奏)|修水姑娌梦事哇
小裙子 - 第76集 酩酊大醉|贞观大闲人
本色 - 第329集 丹殃城|九鼎记
中二病的猫 - 第60集 清阗神雷|异世圣人
懒人听书 - 第115集 沟壑|新宋风流
仿若花色 - 第28集 弹劾|药窕淑女
仿若花色 - 第378集 殁|药窕淑女
仿若花色 - 第364集 撅|药窕淑女
仿若花色 - 第343集 撵|药窕淑女
仿若花色 - 第554集 薨1|药窕淑女
仿若花色 - 第555集 薨2|药窕淑女
焱 - 第139集 招募门|英雄无敌之血尊
焱 - 第165集 巨"蛆"|英雄无敌之血尊
天上弦 - 第18集 难熬的祭祀|家有丑妃
思予凡 - 第221集 不忿|冠盖路
寐尹 - 第0集 楔子|婚聘
寐尹 - 第79集 黜落|婚聘
雅居 - 第83集 土行猢狲|道骨
訫念 - 第194集 莫名罅隙|九娘
訫念 - 第127集 盯梢摹仿|九娘
雅居 - 第75集 癸龙|道骨
雅居 - 第16集 药膳|道骨
雅居 - 第39集 犹祀|道骨
腐眼看人基 - 第605集 云卿及笄3|重生之锦绣嫡女
腐眼看人基 - 第604集 云卿及笄2|重生之锦绣嫡女
腐眼看人基 - 第603集 云卿及笄1|重生之锦绣嫡女
郭瑞 - 第0038集 水火淬炼|帝尊
郭瑞 - 第234集 居心叵测|帝尊
訫念 - 第226集 幸不侮命|九娘
訫念 - 第196集 斋蘸法事|九娘
訫念 - 第074集 袒护刁女|九娘
徐嘉良 - 怵目惊心|新洛神 电视剧原声专辑2
訫念 - 第064集 明讥暗讽|九娘
訫念 - 第081集 林中老妪|九娘
訫念 - 第021集 恻隐之心|九娘
訫念 - 第007集 忠仆义婢|九娘
訫念 - 第038集 嘈音悄起|九娘
娜塔莎 - 第16集 芫荽受伤|慕香
娜塔莎 - 第167集  给你一铁锹|慕香
思小染 - 第115集 淬炼|仙妻
思之泉 - 第55集 个中腌臜|名门冠宠
老兵1234 - 卷2 第49集 孝感动天孙之獬|夺明
老兵1234 - 卷2 第113集 有人想来分杯羹|夺明
老兵1234 - 卷2 第64集 传胪唱名论英才|夺明
紫 - 第110集 姑侄相见|嫡女稚疏
紫 - 第101集 锒铛入狱|嫡女稚疏
南望山 - 第25集 谄媚的王熊|异世之淡定的日子
如画 - 第191集 笞一百2|御夫
如画 - 第190集 笞一百1|御夫
晨曦 - 第162集 撬锁?|回到过去变成猫
五丁包 - 第041集 不再是鸡胸脯了|金风玉露
兰灵0 - 卷6 第10集 荌荷之痛|琳琅金
兰灵0 - 卷6 第5集 婴血祭祀|琳琅金
兰灵0 - 卷5 第21集 鸩酒白绫|琳琅金
兰灵0 - 卷2 第14集 跛道伸冤|琳琅金
兰灵0 - 卷3 第17集 一丘之貉|琳琅金
兰灵0 - 卷3 第19集 鸩毒弑夫|琳琅金
兰灵0 - 卷4 第1集 戏说天癸|琳琅金
苏小曦 - 第132集 诬陷|婚姻的那点事儿
五丁包 - 第245集 让奴婢给王宽衣|金风玉露
苏小曦 - 第133集 邴家施压|婚姻的那点事儿
五丁包 - 第281集 以口哺之|金风玉露
五丁包 - 第144集 媒妁之言|金风玉露
五丁包 - 第82集 直接崩断门闩|金风玉露
五丁包 - 第253集 秽乱内宅|金风玉露
五丁包 - 第304集 一晌贪欢|金风玉露
苏小曦 - 第50集 姐妹首分歧|婚姻的那点事儿
五丁包 - 第184集 一晌贪欢|金风玉露
懒人听书 - 第90集 颛顼大婚|洪荒之玉鼎新传
翊寒 - 第38集 我生孩子你孵蛋|宝贝蛋
懒人听书 - 第231集 玄奘的身世|洪荒之玉鼎新传
懒人听书 - 第226集 玄奘很可口|洪荒之玉鼎新传
步家小轩 - 第269集 元焪阴火|逍行纪
步家小轩 - 第303集 天堑地壕|逍行纪
兰灵0 - 卷1 第16集 有女婧媃|琳琅金
兰灵0 - 卷1 第11集 金背蜈蚣|琳琅金
思予甜 - 卷1 第44集 藏着掖着|新唐遗玉
思予晴 - 第92集 进谗言难探究里|她的乞丐我的爱
思予晴 - 第76集 沟壑难填为贪欲|她的乞丐我的爱
思予晴 - 第62集 一蹶不振初亮相|她的乞丐我的爱
思予晴 - 第94集 忍俊不禁笑馈赠|她的乞丐我的爱
雪儿蜜朵 - 第45集 小迂腐的秀才老爷|悠闲小农女
思予晴 - 第131集 檐下龊语始爆发|她的乞丐我的爱
思予晴 - 第25集 心思缜密难看穿|她的乞丐我的爱
吴弛 - 第76集 火烧临淄|楚汉争鼎
吴弛 - 第99集 狩猎北邙|楚汉争鼎
吴弛 - 第22集 斩杀樊哙|楚汉争鼎
吴弛 - 第18集 马镫|楚汉争鼎
吴弛 - 第17集 大破樊哙|楚汉争鼎
吴弛 - 第14集 猛将樊哙|楚汉争鼎
冠冠 - 第37集 赵顼回宫|北宋闲王
冠冠 - 第35集 赵顼来访|北宋闲王
冠冠 - 第65集 野猪做噱头|北宋闲王
冠冠 - 第17集 带病上岗的赵顼|北宋闲王
冠冠 - 第9集 洗胃|北宋闲王
冠冠 - 第85集 暴打王诜|北宋闲王
温水 - 第118集 唐僧猪猡孙悟空|盘丝洞38号
六耳猕猴 - 第25集 前倨后恭|星际全能女王
六耳猕猴 - 第29集 符箓大全|星际全能女王
六耳猕猴 - 第9集 受到侮辱|星际全能女王
忙着活 - 第29集 婢女小青|灵罗戒
琉璃之陌 - 第222集 薨|上善若书
扬帆 - 第201集 不容觊觎|盛世茶香
小灰狼 - 第48集 神人戴戠|人间仙路
懒人听书 - 第133集 男人的胃|傲临天下
懒人听书 - 第108集 老蚌也生珠|重生之娱乐世纪
尘埃 - 第106集 陡转直下|风云惊澜录
尘埃 - 第49集 谆谆教诲|风云惊澜录
幻海看风 - 第39集 及笄|衣香
幻海看风 - 第58集 诘问|衣香
馨儿 - 第87集 采蘩?童采蘩!|纸贵金迷
馨儿 - 第95集 瞪她,骂她,就不息事宁人!|纸贵金迷
馨儿 - 第100集 婉婵蘩草梅花香|纸贵金迷
馨儿 - 第119集 杀鸡儆猴?她当那把刀!|纸贵金迷
馨儿 - 第6集 拿着褥子跑了!?|纸贵金迷
馨儿 - 第14集 有美可狎?|纸贵金迷
千夜婧宸 - 第8集 侄媳妇儿|御宠医妃
墨道棋 - 第33集 老章鱼的馈赠|妖娆召唤师
猫小白 - 第14集 蜜蜂蜇人真是疼|女配修仙记
春天 - 第59集 睚眦必报|重生神犬
长风 - 第102集 蝗皇|无上真魔
悦怿 - 第33集 喜得香獐子|儿女成双福满堂
飘剑 - 第57集 斩杀骷髅杀手|异界圣骑士
傀儡生 - 第27集 橐1|曹贼
傀儡生 - 第28集 橐2|曹贼
飘剑 - 第19集 石室的骷髅|异界圣骑士
飘剑 - 第20集 孵化宠物蛋|异界圣骑士
白纸 - 第34集 上官小仙的馊主意|反穿越大时代
思大林 - 第87集 水晶骷髅杖|邪菩萨
思大林 - 第82集 水晶骷髅|邪菩萨
苏沫含 - 第10集 找碴的|妾本贤良
蛐蛐 - 第18集 刍狗戏天地,布衣也封神2|神游
蛐蛐 - 第17集 刍狗戏天地,布衣也封神1|神游
你说从前有座山 - 第18集 中馈|大妆
忆守佳音 - 第44集 四灵纹瓿|刑徒
高山永别 - 第41集 陷空城硫磺岛主|人道至尊
高山永别 - 第46集 龙骧剑气|人道至尊
花爷 - 第13集 撺掇|继室谋略
唐古拉 - 卷1 第6集 绰约淡远的倩影|上品寒士
紫薇 - 卷2 第28集 歧途?|无敌魔画师
天上弦 - 第35集 诬蔑|谋嫡
天上弦 - 第51集 药膳|谋嫡
蛐蛐 - 第32集 目眦欲裂|飞升之后
祈锦鈅 - 孤单傻子|孤单傻子
赋泰01 - 第011集 贾脓包诈退忽必烈|大宋权相
如画 - 第98集 讥诮|侯门福妻
灿烂的调调 - 第66集 及笄|吉时医到
灿烂的调调 - 第41集 治疟良药|吉时医到
灿烂的调调 - 第40集 狰狞|吉时医到
灿烂的调调 - 第29集 杨梅疮2|吉时医到
灿烂的调调 - 第28集 杨梅疮1|吉时医到
灿烂的调调 - 第83集 治疟有功|吉时医到
梦蓝 - 第124集 阋墙|闺绣
思予凡 - 第98集 支妗|坤后
思予凡 - 第94集 捭阖|坤后
景林 - 第42集 捉黄鳝|种田记
景林 - 第18集 苏缨的烦恼|种田记
景林 - 第43集 辣子鳝段|种田记
霜色微凉等 - 第21集 青华宝箓|纯阳
霜色微凉等 - 第11集 受籙|纯阳
君不见 - 卷1 第17集 剽窃之祸|剩女不淑
羊顺顺 - 第0集 楔子|金妃
羊顺顺 - 第53集 闭门羹|金妃
羊顺顺 - 第14集 讹诈|金妃
柔大仙 - 第135集 死亡禁锢3|胆怯天尊
柔大仙 - 第122集 再战定垡2|胆怯天尊
柔大仙 - 第134集 死亡禁锢2|胆怯天尊
小灰狼 - 第15集 仙器铁锹|天庭清洁工
柔大仙 - 第121集 再战定垡1|胆怯天尊
柔大仙 - 第133集 死亡禁锢1|胆怯天尊
柔大仙 - 第123集 再战定垡3|胆怯天尊
小裙子 - 第28集 卖诗鬻文|贞观大闲人
小裙子 - 第25集 郭驽献诗|贞观大闲人
播音蕾拉 - 第69集 夜闯别墅|公主殿下驾到
懒人听书 - 卷1 第18集 天潢贵胄|大隋女贵
懒人听书 - 卷1 第0集 楔子|大隋女贵
思有声 - 第76集 李暹授首|凉州马超
思有声 - 第55集 重会邙山|凉州马超
玉麒麟 - 第42集 甲马符箓|八零后修道生活录
玉麒麟 - 第9集 制作符箓|八零后修道生活录
朝雪 - 第59集 居心叵测|食锦
朝雪 - 第49集 化干戈为玉帛|食锦
朝雪 - 第117集 撺掇|食锦
促织 - 第52集 结党!驱除鞑虏复我中华!|美利坚大帝
安随君 - 第6集 初遇|绛珠传
促织 - 第98集 打仗先发债!李梦杨的馊主意|美利坚大帝
安随君 - 第52集 冒昧|绛珠传
安随君 - 第53集 夜会|绛珠传
安随君 - 第40集 幻儿|绛珠传
安随君 - 第41集 樱木|绛珠传
安随君 - 第42集 右手|绛珠传
安随君 - 第44集 探监|绛珠传
安随君 - 第43集 表白|绛珠传
安随君 - 第45集 出走|绛珠传
安随君 - 第46集 九鲤|绛珠传
安随君 - 第47集 朝天|绛珠传
安随君 - 第48集 自裁|绛珠传
安随君 - 第49集 失忆|绛珠传
安随君 - 第50集 灌江|绛珠传
安随君 - 第51集 谋害|绛珠传
安随君 - 第16集 离别|绛珠传
安随君 - 第17集 新友|绛珠传
安随君 - 第18集 跳月|绛珠传
安随君 - 第19集 陷害|绛珠传
安随君 - 第20集 天君|绛珠传
安随君 - 第21集 重逢|绛珠传
安随君 - 第22集 亲娘|绛珠传
安随君 - 第7集 夜宴|绛珠传
安随君 - 第8集 杨戬|绛珠传
安随君 - 第9集 祸事|绛珠传
安随君 - 第10集 虚惊|绛珠传
安随君 - 第11集 瑶池|绛珠传
安随君 - 第12集 月神|绛珠传
安随君 - 第13集 遇害|绛珠传
安随君 - 第14集 吴刚伐桂|绛珠传
安随君 - 第15集 获救|绛珠传
安随君 - 第31集 真相|绛珠传
安随君 - 第32集 正法|绛珠传
安随君 - 第33集 探病|绛珠传
安随君 - 第34集 重逢|绛珠传
安随君 - 第35集 药引|绛珠传
安随君 - 第36集 夜莺|绛珠传
安随君 - 第37集 惊魂|绛珠传
安随君 - 第38集 吻心|绛珠传
安随君 - 第39集 殇臆|绛珠传
安随君 - 第23集 下凡|绛珠传
安随君 - 第24集 细犬|绛珠传
安随君 - 第25集 爱恋|绛珠传
安随君 - 第26集 狭路|绛珠传
安随君 - 第27集 罚跪|绛珠传
安随君 - 第28集 大病|绛珠传
安随君 - 第29集 蟠会|绛珠传
